ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
8505,8505,0,0
8507,8507,0,0
8532,8532,0,0
8576,8576,0,0
8587,8587,0,0
8718,8718,0,0
9202,9202,0,0
9551,9551,0,0
9655,9655,0,0
317009,317009,0,0
761948,761948,0,0
378253,378253,0,0
432526,432526,0,0
1539463,1539463,0,0
1125315,1125315,0,0
1503297,1503327,1,1
1503328,1503328,0,0
1516976,1516978,2,3
1516976,1516976,0,0
1516978,1516978,0,0
1539403,1539403,0,0
1539462,1539462,0,0
1503297,1503328,1,1
1503297,1503297,0,0
1503327,1503327,0,0
1516980,1516980,0,0
1539403,1539462,2,3
1539403,1539463,2,3
1125315,43135274,2,3
1125315,2905077,3,4
1125315,1125360,2,3
1125360,1125360,0,0
1516976,1516980,2,3
2905077,2905077,0,0
3655500,3655500,0,0
3655501,3655501,0,0
4141052,4141052,0,0
4062501,4062501,0,0
4214676,4214676,0,0
4266367,4266367,0,0
4313306,4313306,0,0
43135274,43135274,0,0
3661634,3661634,0,0
