ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
44816277,44816277,0,0
438614,438614,0,0
3005136,3005136,0,0
920293,920334,2,3
1305058,19007333,2,3
1717327,19129655,2,3
920293,920300,2,3
4169137,4169137,0,0
42902245,42902245,0,0
46275444,46275444,0,0
1305058,1305058,0,0
260139,260139,0,0
4015189,4015189,0,0
4149245,4149245,0,0
1746114,46275444,2,3
4174876,4174876,0,0
4084167,4084167,0,0
4117038,4117038,0,0
4048169,4048169,0,0
4112343,4112343,0,0
4187458,4187458,0,0
1717327,1717327,0,0
4202451,4202451,0,0
4218408,4218408,0,0
19127904,19127904,0,0
19128263,19128263,0,0
19127918,19127918,0,0
19128009,19128009,0,0
19128022,19128022,0,0
920293,920293,0,0
433644,433644,0,0
3014576,3014576,0,0
3026361,3026361,0,0
43012433,43012433,0,0
1549786,1549786,0,0
21494966,21494966,0,0
1549786,44816277,2,3
1549786,43012433,2,3
1549786,19127904,3,4
1549786,19128263,3,4
1549786,19128009,3,4
1549786,19128022,3,4
1549786,19127918,3,4
1549786,42902245,3,4
9201,9201,0,0
9202,9202,0,0
9203,9203,0,0
19007333,19007333,0,0
4330583,4330583,0,0
920300,920300,0,0
920334,920334,0,0
440086,440086,0,0
1746114,1746114,0,0
19129655,19129655,0,0
