drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason
920293,920293,NA,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
920300,920293,NA,NA,5,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
920334,920293,50,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1305058,1305058,NA,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1549786,1549786,NA,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1717327,1717327,NA,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1746114,1746114,NA,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19007333,1305058,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19129655,1717327,NA,NA,100,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
43012433,1549786,NA,NA,0.315,8576,504,8505,NA,1970-01-01,2099-12-31,NA
44816277,1549786,NA,NA,0.24528,8576,168,8505,NA,1970-01-01,2099-12-31,NA
46275444,1746114,4000,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
