drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason
782047,782043,NA,NA,999,8576,NA,8587,NA,2005-09-11,2099-12-31,NA
836659,836654,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
920300,920293,NA,NA,5,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
920334,920293,50,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
964261,1308738,NA,NA,5,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
1107882,1107830,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1115171,1115008,220,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1118084,1118084,NA,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1124300,1124300,NA,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1127078,1125315,160,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1127433,1125315,325,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1150771,1150770,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1150837,1150836,60,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1154029,1154029,NA,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1154615,1154343,NA,NA,18,8576,200,45744809,NA,1970-01-01,2099-12-31,NA
1310034,1309944,NA,NA,150,8576,3,8587,NA,2009-03-01,2099-12-31,NA
1332419,1332418,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1367571,1367571,NA,8510,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1519937,1519936,68,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1539411,1539403,20,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1545959,1545958,80,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1551192,1551099,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1594382,1343916,NA,NA,1,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
1713671,1759842,125,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
1713671,1713332,250,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19006318,1728416,NA,NA,375,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
19007333,1305058,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19089061,1551099,2.5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19112599,1192710,NA,NA,2,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
19115351,723013,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19129655,1717327,NA,NA,100,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
19133905,1729720,500,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19134077,19010482,100,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
40165015,1102527,50,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
40171902,1307863,40,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
40222846,701322,NA,NA,2,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
40231925,1125315,325,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
40231925,1124957,5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
40236446,705944,20,8576,NA,NA,NA,NA,NA,2006-06-04,2099-12-31,NA
