pattern_id,amount,amount_unit,amount_unit_concept_id,numerator,numerator_unit,denominator,denominator_unit,numerator_unit_concept_id,denominator_unit_concept_id,number_concepts,number_ingredients,valid,pattern_name,unit
1,numeric,international unit,8718,NA,NA,NA,NA,NA,NA,1027,51,TRUE,international_unit,international unit
2,numeric,microgram,9655,NA,NA,NA,NA,NA,NA,6,2,TRUE,microgram,milligram
2,numeric,milligram,8576,NA,NA,NA,NA,NA,NA,805118,5308,TRUE,milligram,milligram
3,numeric,millicurie,44819154,NA,NA,NA,NA,NA,NA,157,3,TRUE,millicurie,millicurie
4,numeric,milliequivalent,9551,NA,NA,NA,NA,NA,NA,248,12,TRUE,milliequivalent,milliequivalent
5,numeric,milliliter,8587,NA,NA,NA,NA,NA,NA,756,37,TRUE,milliliter,milliliter
6,numeric,millimole,9573,NA,NA,NA,NA,NA,NA,124,6,TRUE,millimole,millimole
7,NA,NA,NA,numeric,international unit,numeric,milligram,8718,8576,46,5,TRUE,international_unit_per_milligram,international unit
8,NA,NA,NA,numeric,international unit,numeric,milliliter,8718,8587,848,63,TRUE,international_unit_per_milliliter,international unit
9,NA,NA,NA,numeric,microgram,numeric,hour,9655,8505,6,2,TRUE,microgram_unit_per_hour,milligram
9,NA,NA,NA,numeric,milligram,numeric,hour,8576,8505,6901,230,TRUE,milligram_per_hour,milligram
10,NA,NA,NA,numeric,millicurie,numeric,milliliter,44819154,8587,12,5,TRUE,millicurie_per_milliliter,millicurie
11,NA,NA,NA,numeric,milliequivalent,numeric,milliliter,9551,8587,51,8,TRUE,milliequivalent_per_milliliter,milliequivalent
12,NA,NA,NA,numeric,milligram,numeric,Actuation,8576,45744809,7298,86,TRUE,milligram_per_actuation,milligram
13,NA,NA,NA,numeric,milligram,numeric,liter,8576,8519,9,2,TRUE,milligram_per_liter,milligram
13,NA,NA,NA,numeric,milligram,numeric,milliliter,8576,8587,327980,3696,TRUE,milligram_per_milliliter,milligram
14,NA,NA,NA,numeric,milligram,numeric,milligram,8576,8576,132466,2063,TRUE,milligram_per_milligram,milligram
15,NA,NA,NA,numeric,milliliter,numeric,milligram,8587,8576,37,9,TRUE,milliliter_per_milligram,milliliter
16,NA,NA,NA,numeric,milliliter,numeric,milliliter,8587,8587,4576,151,TRUE,milliliter_per_milliliter,milliliter
17,NA,NA,NA,numeric,millimole,numeric,milligram,9573,8576,95,1,TRUE,millimole_per_milligram,millimole
18,NA,NA,NA,numeric,millimole,numeric,milliliter,9573,8587,979,34,TRUE,millimole_per_milliliter,millimole
19,NA,NA,NA,numeric,international unit,NA,milligram,8718,8576,38,5,TRUE,international_unit_per_missing_milligram,international unit
20,NA,NA,NA,numeric,international unit,NA,milliliter,8718,8587,844,68,TRUE,international_uni_per_missing_milliliter,international unit
20,NA,NA,NA,numeric,mega-international unit,NA,milliliter,9439,8587,2,1,TRUE,mega_international_unit_per_missing_milliliter,international unit
21,NA,NA,NA,numeric,microgram,NA,hour,9655,8505,5,2,TRUE,microgram_per_missing_hour,milligram
21,NA,NA,NA,numeric,milligram,NA,hour,8576,8505,5339,29,TRUE,milligram_per_missing_hour,milligram
22,NA,NA,NA,numeric,millicurie,NA,milliliter,44819154,8587,20,5,TRUE,millicurie_per_missing_milliliter,millicurie
23,NA,NA,NA,numeric,milliequivalent,NA,milligram,9551,8576,16,2,TRUE,millicurie_per_missing_milligram,milliequivalent
24,NA,NA,NA,numeric,milliequivalent,NA,milliliter,9551,8587,686,30,TRUE,milliequivalent_per_missing_milliliter,milliequivalent
25,NA,NA,NA,numeric,milligram,NA,Actuation,8576,45744809,6409,103,TRUE,milligram_per_missing_actuation,milligram
26,NA,NA,NA,numeric,milligram,NA,liter,8576,8519,6,2,TRUE,milligram_per_missing_liter,milligram
27,NA,NA,NA,numeric,milligram,NA,milligram,8576,8576,82299,2219,TRUE,milligram_per_missing_milligram,milligram
28,NA,NA,NA,numeric,milligram,NA,milliliter,8576,8587,263654,4898,TRUE,milligram_per_missing_milliliter,milligram
29,NA,NA,NA,numeric,milliliter,NA,milligram,8587,8576,44,9,TRUE,milliliter_per_missing_milligram,milligram
30,NA,NA,NA,numeric,milliliter,NA,milliliter,8587,8587,2627,164,TRUE,milliliter_per_missing_milliliter,milliliter
31,NA,NA,NA,numeric,millimole,NA,milligram,9573,8576,54,1,TRUE,millimole_per_missing_milligram,milliliter
32,NA,NA,NA,numeric,millimole,NA,milliliter,9573,8587,479,36,TRUE,millimole_per_missing_milliliter,millimole
NA,numeric,50% cell culture infectious dose,9276,NA,NA,NA,NA,NA,NA,7,1,FALSE,NA,NA
NA,numeric,50% tissue culture infectious dose,9414,NA,NA,NA,NA,NA,NA,16,4,FALSE,NA,NA
NA,numeric,Actuation,45744809,NA,NA,NA,NA,NA,NA,4,1,FALSE,NA,NA
