"","pattern_id","amount","amount_unit","amount_unit_concept_id","numerator","numerator_unit","denominator","denominator_unit","numerator_unit_concept_id","denominator_unit_concept_id","number_concepts","number_ingredients","valid","pattern_name","unit"
"1",1,"numeric","international unit",8718,NA,NA,NA,NA,NA,NA,1027,51,TRUE,"international_unit","international unit"
"2",2,"numeric","microgram",9655,NA,NA,NA,NA,NA,NA,6,2,TRUE,"microgram","milligram"
"3",2,"numeric","milligram",8576,NA,NA,NA,NA,NA,NA,805118,5308,TRUE,"milligram","milligram"
"4",3,"numeric","millicurie",44819154,NA,NA,NA,NA,NA,NA,157,3,TRUE,"millicurie","millicurie"
"5",4,"numeric","milliequivalent",9551,NA,NA,NA,NA,NA,NA,248,12,TRUE,"milliequivalent","milliequivalent"
"6",5,"numeric","milliliter",8587,NA,NA,NA,NA,NA,NA,756,37,TRUE,"milliliter","milliliter"
"7",6,"numeric","millimole",9573,NA,NA,NA,NA,NA,NA,124,6,TRUE,"millimole","millimole"
"8",7,NA,NA,NA,"numeric","international unit","numeric","milligram",8718,8576,46,5,TRUE,"international_unit_per_milligram","international unit"
"9",8,NA,NA,NA,"numeric","international unit","numeric","milliliter",8718,8587,848,63,TRUE,"international_unit_per_milliliter","international unit"
"10",9,NA,NA,NA,"numeric","microgram","numeric","hour",9655,8505,6,2,TRUE,"microgram_unit_per_hour","milligram"
"11",9,NA,NA,NA,"numeric","milligram","numeric","hour",8576,8505,6901,230,TRUE,"milligram_per_hour","milligram"
"12",10,NA,NA,NA,"numeric","millicurie","numeric","milliliter",44819154,8587,12,5,TRUE,"millicurie_per_milliliter","millicurie"
"13",11,NA,NA,NA,"numeric","milliequivalent","numeric","milliliter",9551,8587,51,8,TRUE,"milliequivalent_per_milliliter","milliequivalent"
"14",12,NA,NA,NA,"numeric","milligram","numeric","Actuation",8576,45744809,7298,86,TRUE,"milligram_per_actuation","milligram"
"15",13,NA,NA,NA,"numeric","milligram","numeric","liter",8576,8519,9,2,TRUE,"milligram_per_liter","milligram"
"16",13,NA,NA,NA,"numeric","milligram","numeric","milliliter",8576,8587,327980,3696,TRUE,"milligram_per_milliliter","milligram"
"17",14,NA,NA,NA,"numeric","milligram","numeric","milligram",8576,8576,132466,2063,TRUE,"milligram_per_milligram","milligram"
"18",15,NA,NA,NA,"numeric","milliliter","numeric","milligram",8587,8576,37,9,TRUE,"milliliter_per_milligram","milliliter"
"19",16,NA,NA,NA,"numeric","milliliter","numeric","milliliter",8587,8587,4576,151,TRUE,"milliliter_per_milliliter","milliliter"
"20",17,NA,NA,NA,"numeric","millimole","numeric","milligram",9573,8576,95,1,TRUE,"millimole_per_milligram","millimole"
"21",18,NA,NA,NA,"numeric","millimole","numeric","milliliter",9573,8587,979,34,TRUE,"millimole_per_milliliter","millimole"
"22",19,NA,NA,NA,"numeric","international unit",NA,"milligram",8718,8576,38,5,TRUE,"international_unit_per_missing_milligram","international unit"
"23",20,NA,NA,NA,"numeric","international unit",NA,"milliliter",8718,8587,844,68,TRUE,"international_uni_per_missing_milliliter","international unit"
"24",20,NA,NA,NA,"numeric","mega-international unit",NA,"milliliter",9439,8587,2,1,TRUE,"mega_international_unit_per_missing_milliliter","international unit"
"25",21,NA,NA,NA,"numeric","microgram",NA,"hour",9655,8505,5,2,TRUE,"microgram_per_missing_hour","milligram"
"26",21,NA,NA,NA,"numeric","milligram",NA,"hour",8576,8505,5339,29,TRUE,"milligram_per_missing_hour","milligram"
"27",22,NA,NA,NA,"numeric","millicurie",NA,"milliliter",44819154,8587,20,5,TRUE,"millicurie_per_missing_milliliter","millicurie"
"28",23,NA,NA,NA,"numeric","milliequivalent",NA,"milligram",9551,8576,16,2,TRUE,"millicurie_per_missing_milligram","milliequivalent"
"29",24,NA,NA,NA,"numeric","milliequivalent",NA,"milliliter",9551,8587,686,30,TRUE,"milliequivalent_per_missing_milliliter","milliequivalent"
"30",25,NA,NA,NA,"numeric","milligram",NA,"Actuation",8576,45744809,6409,103,TRUE,"milligram_per_missing_actuation","milligram"
